id,name,reviews.doRecommend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reviews.title
AVpf3txeLJeJML43FN82,Microsoft Surface Pro 4 Type Cover with Fingerprint ID,Positif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Love the fingerprint reader
AVpf3txeLJeJML43FN82,Microsoft Surface Pro 4 Type Cover with Fingerprint ID,Positif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nice
AVpf3txeLJeJML43FN82,Microsoft Surface Pro 4 Type Cover with Fingerprint ID,Positif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New
AVpf3txeLJeJML43FN82,Microsoft Surface Pro 4 Type Cover with Fingerprint ID,Positif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nice keyboard
AVpf3txeLJeJML43FN82,Microsoft Surface Pro 4 Type Cover with Fingerprint ID,Positif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nice improvement
AVpf3txeLJeJML43FN82,Microsoft Surface Pro 4 Type Cover with Fingerprint ID,Positif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,big improvement
AVpf3txeLJeJML43FN82,Microsoft Surface Pro 4 Type Cover with Fingerprint ID,Positif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perfect type cover
AVpf3txeLJeJML43FN82,Microsoft Surface Pro 4 Type Cover with Fingerprint ID,Négatif,,Proportion des résultats,,P,Neg,Ne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good Keyboard
AVpf3txeLJeJML43FN82,Microsoft Surface Pro 4 Type Cover with Fingerprint ID,Positif,,Nombre,,47,41,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nice improvement
AVphzgbJLJeJML43fA0o,Sanus VLF410B1 10-Inch Super Slim Full-Motion Mount for 37 - 84 Inches TV's,Positif,,Pourcentage,,"47,00 %","41,00 %","12,00 %",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Great Fullmotion Mount
